,stock,Date,Hour,compound
0,TSLA,20211214.0,0.0,0.4019
1,TSLA,20211214.0,0.0,0.0
2,AAPL,20211214.0,0.0,0.0
3,AAPL,20211214.0,0.0,0.8779
4,MSFT,20211214.0,0.0,0.8779
5,TSLA,20211214.0,0.0,0.8779
6,NVDA,20211214.0,0.0,0.8779
7,TSLA,20211214.0,0.0,0.7579
8,TSLA,20211214.0,0.0,0.7579
9,TSLA,20211214.0,0.0,0.6705
10,TSLA,20211214.0,0.0,0.3818
11,MSFT,20211214.0,0.0,0.0
12,EA,20211214.0,0.0,0.0
13,TSLA,20211214.0,0.0,0.0
14,CERN,20211214.0,0.0,0.0
15,TSLA,20211214.0,0.0,0.25
16,SBUX,20211214.0,0.0,-0.296
17,GOOG,20211214.0,0.0,-0.1027
18,FB,20211214.0,0.0,0.4466
19,NVDA,20211214.0,0.0,0.3716
20,TSLA,20211214.0,0.0,0.296
21,PYPL,20211214.0,0.0,0.0
22,AAPL,20211214.0,0.0,0.0
23,TSLA,20211214.0,0.0,0.3616
24,TSLA,20211214.0,0.0,0.4019
25,AAPL,20211214.0,0.0,0.0
26,TSLA,20211214.0,0.0,0.0
27,AVGO,20211214.0,0.0,0.2714
28,AVGO,20211214.0,0.0,0.2714
29,TSLA,20211214.0,0.0,0.4466
30,TSLA,20211214.0,0.0,0.128
31,TSLA,20211214.0,0.0,-0.4215
32,FB,20211214.0,0.0,0.7906
33,CHTR,20211214.0,0.0,0.0
34,TSLA,20211214.0,0.0,0.4824
35,TSLA,20211214.0,0.0,0.4824
36,TSLA,20211214.0,0.0,0.4824
37,TSLA,20211214.0,0.0,0.4824
38,TSLA,20211214.0,0.0,0.9081
39,ADBE,20211214.0,0.0,-0.1877
40,MSFT,20211214.0,0.0,-0.1877
41,NFLX,20211214.0,0.0,-0.1877
42,TRIP,20211214.0,0.0,0.8249
43,TSLA,20211214.0,0.0,0.5709
44,TSLA,20211214.0,0.0,0.4824
45,TSLA,20211214.0,0.0,0.4824
46,NVDA,20211214.0,0.0,-0.3018
47,BIDU,20211214.0,0.0,-0.6036
48,TSLA,20211214.0,0.0,0.0
49,TSLA,20211214.0,0.0,0.0
50,TSLA,20211214.0,0.0,0.4404
51,TSLA,20211214.0,0.0,0.296
52,TSLA,20211214.0,0.0,0.4824
53,TSLA,20211214.0,0.0,0.4824
54,TSLA,20211214.0,0.0,0.4824
55,TSLA,20211214.0,0.0,0.4824
56,TSLA,20211214.0,0.0,0.4019
57,MSFT,20211214.0,0.0,0.2732
58,AAPL,20211214.0,0.0,0.2732
59,NVDA,20211214.0,0.0,0.3612
60,NXPI,20211214.0,0.0,0.3612
61,TSLA,20211214.0,0.0,0.4588
62,AAPL,20211214.0,0.0,0.5994
63,FB,20211214.0,0.0,0.5994
64,TSLA,20211214.0,0.0,0.4404
65,TSLA,20211214.0,0.0,0.4404
66,AAPL,20211214.0,0.0,0.4329
67,CMCSA,20211214.0,0.0,0.0
68,AAPL,20211214.0,0.0,0.0
69,AAPL,20211214.0,0.0,0.4404
70,TSLA,20211214.0,0.0,0.0567
71,MU,20211214.0,0.0,0.0
72,AAPL,20211214.0,0.0,0.0
73,TSLA,20211214.0,0.0,0.0
74,FB,20211214.0,0.0,0.1779
75,TSLA,20211214.0,0.0,0.0
76,NVDA,20211214.0,0.0,0.0
77,NVDA,20211214.0,0.0,0.0
78,TSLA,20211214.0,0.0,-0.5473
79,TSLA,20211214.0,0.0,0.4824
80,TSLA,20211214.0,0.0,0.4824
81,FB,20211214.0,0.0,0.7003
82,AAPL,20211214.0,0.0,0.7003
83,AAPL,20211214.0,0.0,-0.5267
84,GILD,20211214.0,0.0,0.0
85,GILD,20211214.0,0.0,0.0
86,TSLA,20211214.0,0.0,0.1343
87,GILD,20211214.0,0.0,0.0
88,TSLA,20211214.0,0.0,0.6379
89,FB,20211214.0,0.0,0.7003
90,AAPL,20211214.0,0.0,0.7003
91,TSLA,20211214.0,0.0,0.2263
92,GILD,20211214.0,0.0,0.5093
93,TSLA,20211214.0,0.0,0.8016
94,MSFT,20211214.0,0.0,0.0
95,MSFT,20211214.0,0.0,0.0
96,TSLA,20211214.0,0.0,0.6705
97,QCOM,20211214.0,0.0,0.0
98,TSLA,20211214.0,0.0,0.0
99,TSLA,20211214.0,0.0,0.4215
100,TSLA,20211214.0,0.0,0.2023
101,AAPL,20211214.0,0.0,0.2023
102,TSLA,20211214.0,0.0,0.296
103,NVDA,20211214.0,0.0,0.0
104,TSLA,20211214.0,0.0,0.4588
105,GILD,20211214.0,0.0,0.25
106,TSLA,20211214.0,0.0,0.0
107,TSLA,20211214.0,0.0,-0.5848
108,TSLA,20211214.0,0.0,0.0
109,TSLA,20211214.0,0.0,0.0
110,FB,20211214.0,0.0,0.0
111,AAPL,20211214.0,0.0,0.0
112,AAPL,20211214.0,0.0,0.2023
113,TSLA,20211214.0,0.0,-0.5473
114,QCOM,20211214.0,0.0,0.0
115,TSLA,20211214.0,1.0,0.0772
116,AAPL,20211214.0,1.0,0.5984
117,AAPL,20211214.0,1.0,0.4576
118,NVDA,20211214.0,1.0,0.4576
119,TSLA,20211214.0,1.0,0.8779
120,AAPL,20211214.0,1.0,0.8779
121,MSFT,20211214.0,1.0,0.0
122,NVDA,20211214.0,1.0,-0.2023
123,TSLA,20211214.0,1.0,0.6166
124,TSLA,20211214.0,1.0,0.0
125,TSLA,20211214.0,1.0,0.0
126,AAPL,20211214.0,1.0,-0.9022
127,AAPL,20211214.0,1.0,0.0
128,TSLA,20211214.0,1.0,0.3612
129,TSLA,20211214.0,1.0,0.0
130,AAPL,20211214.0,1.0,0.0
131,FB,20211214.0,1.0,0.0
132,TSLA,20211214.0,1.0,0.6774
133,TSLA,20211214.0,1.0,-0.6124
134,FB,20211214.0,1.0,0.6369
135,TSLA,20211214.0,1.0,0.6774
136,JD,20211214.0,1.0,-0.4404
137,TSLA,20211214.0,1.0,0.6774
138,TSLA,20211214.0,1.0,-0.296
139,TSLA,20211214.0,1.0,0.7964
140,FB,20211214.0,1.0,0.7964
141,MSFT,20211214.0,1.0,0.7964
142,TSLA,20211214.0,1.0,0.6774
143,TSLA,20211214.0,1.0,0.6774
144,CMCSA,20211214.0,1.0,-0.34
145,TSLA,20211214.0,1.0,0.6774
146,TSLA,20211214.0,1.0,0.6774
147,CMCSA,20211214.0,1.0,-0.34
148,PAYX,20211214.0,1.0,0.3365
149,TSLA,20211214.0,1.0,0.6774
150,TSLA,20211214.0,1.0,0.6774
151,PYPL,20211214.0,1.0,0.2023
152,TSLA,20211214.0,1.0,0.4824
153,TSLA,20211214.0,1.0,0.4824
154,COST,20211214.0,1.0,0.0
155,AAPL,20211214.0,1.0,0.0
156,MNST,20211214.0,1.0,0.0
157,TSLA,20211214.0,1.0,0.3182
158,TSLA,20211214.0,1.0,0.6166
159,TSLA,20211214.0,1.0,0.6774
160,TSLA,20211214.0,1.0,0.6774
161,TSLA,20211214.0,1.0,0.6369
162,TSLA,20211214.0,1.0,0.6774
163,WBA,20211214.0,1.0,0.0
164,GILD,20211214.0,1.0,0.0
165,TSLA,20211214.0,1.0,0.6774
166,AAPL,20211214.0,1.0,0.7964
167,AAPL,20211214.0,1.0,-0.8225
168,TSLA,20211214.0,1.0,0.6774
169,TSLA,20211214.0,1.0,0.6774
170,TSLA,20211214.0,1.0,0.5423
171,AAPL,20211214.0,1.0,-0.8225
172,TSLA,20211214.0,1.0,0.6774
173,TSLA,20211214.0,1.0,0.296
174,MU,20211214.0,1.0,0.2023
175,TSLA,20211214.0,1.0,0.4588
176,FB,20211214.0,1.0,0.0
177,TSLA,20211214.0,1.0,0.4215
178,TSLA,20211214.0,1.0,0.6774
179,TSLA,20211214.0,1.0,0.6774
180,NVDA,20211214.0,1.0,0.6705
181,TSLA,20211214.0,1.0,0.5267
182,TSLA,20211214.0,1.0,0.5267
183,FB,20211214.0,1.0,0.4404
184,MAT,20211214.0,1.0,0.128
185,TSLA,20211214.0,1.0,0.6774
186,TSLA,20211214.0,1.0,0.4019
187,MSFT,20211214.0,2.0,0.7184
188,NVDA,20211214.0,2.0,0.7184
189,NVDA,20211214.0,2.0,0.8779
190,TSCO,20211214.0,2.0,0.296
191,TSLA,20211214.0,2.0,0.6774
192,TSCO,20211214.0,2.0,0.296
193,TSCO,20211214.0,2.0,0.296
194,AAPL,20211214.0,2.0,-0.6657
195,TSLA,20211214.0,2.0,0.6808
196,TSLA,20211214.0,2.0,0.0
197,TSLA,20211214.0,2.0,0.0
198,TSLA,20211214.0,2.0,0.0
199,TSLA,20211214.0,2.0,0.3182
200,GOOG,20211214.0,2.0,0.3182
201,QCOM,20211214.0,2.0,0.5423
202,MAT,20211214.0,2.0,0.0
203,MNST,20211214.0,2.0,0.0
204,TSLA,20211214.0,2.0,0.4329
205,TSLA,20211214.0,2.0,0.0
206,AAPL,20211214.0,2.0,-0.636
207,AAPL,20211214.0,2.0,0.7089
208,NVDA,20211214.0,2.0,0.5319
209,TSLA,20211214.0,2.0,0.5319
210,GOOG,20211214.0,2.0,-0.5423
211,MAT,20211214.0,2.0,0.6114
212,GILD,20211214.0,2.0,0.0
213,TSLA,20211214.0,2.0,0.3182
214,GOOG,20211214.0,2.0,0.3182
215,TSLA,20211214.0,2.0,0.0
216,TSLA,20211214.0,2.0,0.7783
217,TSLA,20211214.0,2.0,0.4588
218,PYPL,20211214.0,2.0,0.6249
219,TSLA,20211214.0,2.0,-0.4122
220,AAPL,20211214.0,2.0,0.2023
221,QCOM,20211214.0,2.0,0.2023
222,COST,20211214.0,2.0,0.0
223,AAPL,20211214.0,2.0,0.4767
224,NTAP,20211214.0,2.0,-0.296
225,AAPL,20211214.0,2.0,0.2023
226,TSLA,20211214.0,2.0,0.6774
227,TSLA,20211214.0,2.0,0.5688
228,TSLA,20211214.0,2.0,-0.6369
229,AAPL,20211214.0,2.0,0.0
230,TSLA,20211214.0,2.0,0.4466
231,STX,20211214.0,2.0,0.0
232,TSLA,20211214.0,2.0,-0.3182
233,TSLA,20211214.0,2.0,0.0
234,AAPL,20211214.0,2.0,-0.8225
235,DLTR,20211214.0,2.0,0.2732
236,EA,20211214.0,2.0,0.0
237,PYPL,20211214.0,2.0,0.0
238,GOOG,20211214.0,2.0,0.0
239,NFLX,20211214.0,2.0,0.0
240,FB,20211214.0,2.0,0.0
241,AAPL,20211214.0,2.0,-0.8225
242,PYPL,20211214.0,2.0,0.0
243,DLTR,20211214.0,2.0,0.0
244,TSLA,20211214.0,2.0,0.7346
245,TSLA,20211214.0,2.0,0.6774
246,TSLA,20211214.0,2.0,0.2716
247,TSLA,20211214.0,3.0,0.6705
248,AAPL,20211214.0,3.0,0.4576
249,NVDA,20211214.0,3.0,0.4576
250,NVDA,20211214.0,3.0,0.8779
251,MSFT,20211214.0,3.0,0.8779
252,TSLA,20211214.0,3.0,-0.3182
253,TSLA,20211214.0,3.0,0.0
254,TSLA,20211214.0,3.0,0.5267
255,NVDA,20211214.0,3.0,-0.3412
256,TSLA,20211214.0,3.0,-0.4767
257,TSLA,20211214.0,3.0,-0.0258
258,TSLA,20211214.0,3.0,0.5719
259,TSLA,20211214.0,3.0,0.0
260,FB,20211214.0,3.0,0.0
261,AAPL,20211214.0,3.0,0.0
262,TSLA,20211214.0,3.0,0.0
263,STX,20211214.0,3.0,0.2732
264,TSLA,20211214.0,3.0,-0.5319
265,NVDA,20211214.0,3.0,0.2732
266,NVDA,20211214.0,3.0,0.0
267,TSLA,20211214.0,3.0,0.3736
268,JD,20211214.0,3.0,-0.4019
269,NTES,20211214.0,3.0,-0.4019
270,TSLA,20211214.0,3.0,0.3365
271,TSLA,20211214.0,3.0,0.0
272,AAPL,20211214.0,3.0,0.25
273,JD,20211214.0,3.0,0.0
274,BIDU,20211214.0,3.0,0.0
275,TSLA,20211214.0,3.0,0.0
276,AAPL,20211214.0,3.0,0.0
277,TSLA,20211214.0,3.0,0.8316
278,TSLA,20211214.0,3.0,0.8122
279,AAPL,20211214.0,3.0,0.4588
280,NVDA,20211214.0,3.0,0.4588
281,TSLA,20211214.0,3.0,0.7783
282,AAPL,20211214.0,3.0,0.34
283,TSLA,20211214.0,3.0,0.6774
284,MAR,20211214.0,3.0,0.0
285,TSLA,20211214.0,3.0,0.4023
286,TSLA,20211214.0,3.0,0.5709
287,WDC,20211214.0,3.0,0.0
288,AAPL,20211214.0,3.0,-0.8225
289,AAPL,20211214.0,3.0,-0.8225
290,TSLA,20211214.0,3.0,0.5023
291,NVDA,20211214.0,3.0,0.8779
292,MSFT,20211214.0,3.0,0.8779
293,TSLA,20211214.0,3.0,0.5999
294,TSLA,20211214.0,3.0,0.0
295,AAPL,20211214.0,3.0,0.5859
296,NVDA,20211214.0,4.0,0.8779
297,MSFT,20211214.0,4.0,0.8779
298,FB,20211214.0,4.0,0.5106
299,ADBE,20211214.0,4.0,0.5106
300,CSCO,20211214.0,4.0,0.5106
301,PYPL,20211214.0,4.0,0.0
302,SBUX,20211214.0,4.0,0.5106
303,AAPL,20211214.0,4.0,0.5095
304,AAPL,20211214.0,4.0,0.5095
305,NVDA,20211214.0,4.0,0.9214
306,PYPL,20211214.0,4.0,0.0
307,FB,20211214.0,4.0,0.6786
308,TSLA,20211214.0,4.0,0.0
309,TSLA,20211214.0,4.0,0.2235
310,TSLA,20211214.0,4.0,0.2235
311,AAPL,20211214.0,4.0,0.5556
312,TSLA,20211214.0,4.0,0.0
313,FB,20211214.0,4.0,0.0
314,TSLA,20211214.0,4.0,0.814
315,FB,20211214.0,4.0,0.4588
316,TSLA,20211214.0,4.0,0.1761
317,LRCX,20211214.0,4.0,0.0
318,JD,20211214.0,4.0,0.0516
319,TSLA,20211214.0,4.0,0.5474
320,NCLH,20211214.0,4.0,0.6786
321,AAPL,20211214.0,4.0,0.0
322,TSLA,20211214.0,4.0,0.0
323,TSLA,20211214.0,4.0,0.5688
324,AAPL,20211214.0,4.0,0.5095
325,AAPL,20211214.0,4.0,0.5095
326,NCLH,20211214.0,4.0,0.7921
327,TSLA,20211214.0,4.0,-0.3612
328,AAPL,20211214.0,4.0,0.0
329,TRIP,20211214.0,4.0,0.4404
330,AAPL,20211214.0,4.0,0.0
331,AAPL,20211214.0,4.0,0.0
332,AAPL,20211214.0,4.0,0.2023
333,AAPL,20211214.0,4.0,-0.4019
334,TSLA,20211214.0,4.0,0.0
335,AAPL,20211214.0,4.0,0.0
336,MAT,20211214.0,4.0,0.6114
337,TSLA,20211214.0,4.0,0.4215
338,MAR,20211214.0,4.0,-0.6523
339,TSLA,20211214.0,4.0,0.4767
340,NVDA,20211214.0,4.0,0.2023
341,TSLA,20211214.0,4.0,0.7264
342,MSFT,20211214.0,4.0,0.0
343,TSLA,20211214.0,4.0,0.0
344,NVDA,20211214.0,4.0,0.0
345,CSCO,20211214.0,4.0,0.6786
346,FB,20211214.0,4.0,0.3612
347,AAPL,20211214.0,4.0,0.3182
348,AAPL,20211214.0,4.0,0.0
349,NFLX,20211214.0,4.0,-0.0516
350,AAPL,20211214.0,4.0,0.0
351,NVDA,20211214.0,4.0,0.0
352,GOOG,20211214.0,4.0,0.0
353,NFLX,20211214.0,4.0,0.0
354,FB,20211214.0,4.0,0.0
355,TSLA,20211214.0,4.0,0.0
356,TRIP,20211214.0,4.0,0.296
357,FOX,20211214.0,4.0,0.0
358,FB,20211214.0,4.0,0.0258
359,NVDA,20211214.0,4.0,0.0
360,TSLA,20211214.0,4.0,0.0
361,ORLY,20211214.0,4.0,0.0
362,TSCO,20211214.0,4.0,0.0
363,AAPL,20211214.0,4.0,0.0
364,AVGO,20211214.0,4.0,0.0
365,TMUS,20211214.0,4.0,0.0
366,AAPL,20211214.0,4.0,0.0
367,QCOM,20211214.0,4.0,0.6786
368,FB,20211214.0,4.0,0.4201
369,TSLA,20211214.0,5.0,0.0
370,DISH,20211214.0,5.0,0.0772
371,PYPL,20211214.0,5.0,0.296
372,DISCK,20211214.0,5.0,0.296
373,MSFT,20211214.0,5.0,0.8779
374,NVDA,20211214.0,5.0,0.8779
375,AAPL,20211214.0,5.0,0.7783
376,AAPL,20211214.0,5.0,-0.3182
377,TSLA,20211214.0,5.0,0.4215
378,TSLA,20211214.0,5.0,0.6774
379,TSLA,20211214.0,5.0,0.5709
380,TSLA,20211214.0,5.0,0.6774
381,TSLA,20211214.0,5.0,0.0
382,TSLA,20211214.0,5.0,0.0
383,TSLA,20211214.0,5.0,0.0
384,TSLA,20211214.0,5.0,0.3164
385,TSLA,20211214.0,5.0,0.2023
386,AVGO,20211214.0,5.0,0.7297
387,TSLA,20211214.0,5.0,0.0
388,AAPL,20211214.0,5.0,0.0
389,NVDA,20211214.0,5.0,0.0
390,TSLA,20211214.0,5.0,0.3566
391,AAPL,20211214.0,5.0,0.0
392,TSLA,20211214.0,5.0,0.749
393,MU,20211214.0,5.0,0.7783
394,AAPL,20211214.0,5.0,0.0
395,MDLZ,20211214.0,5.0,0.5267
396,MDLZ,20211214.0,5.0,0.5267
397,QCOM,20211214.0,5.0,0.0
